Apelido,Username,Data/Hora,Respondendo,Texto,link_img,Comentarios,Retweets,Likes
Assembleia de Deus,@adbrasil,2021-01-22T23:55:27.000Z," Ministério da Saúde alega sigilo e se recusa a informar estoque de medicamentos e testes de Covid-19

Pasta do General Eduardo Pazuello utiliza documento de 2018 para fundamentar decisão; especialistas contestam
#covid19 #coronavirus","Ministério da Saúde alega sigilo e se recusa a informar estoque de medicamentos e testes de...
Pasta de Eduardo Pazuello utiliza documento de 2018 para fundamentar decisão; especialistas contestam
folha.uol.com.br",https://pbs.twimg.com/card_img/1362591223534530572/iBM2W894?format=jpg&name=small,0,1,6
AEROIN,@aero_in,2021-01-22T23:53:12.000Z,United Airlines quer obrigar funcionários a tomarem a vacina,"United Airlines quer obrigar funcionários a tomarem a vacina
A United Airlines quer tornar a vacina da Covid-19 obrigatória para sua força de trabalho, desde que não seja a única empresa a fazê-lo
aeroin.net",https://pbs.twimg.com/card_img/1361161489441296384/2YQSCtBV?format=jpg&name=240x240,0,0,11
Dados da COVID-19 no Brasil,@covid19brbot,2021-01-22T23:56:58.000Z," [ATUALIZAÇÃO] 
 Fonte: Secretarias Estaduais de Saúde (https://covid19br.wcota.me)
 Brasil tem 8.761.160 casos e 215.406 óbitos por #coronavirus.
 São 63.792 casos e 1.259 óbitos novos em relação ao balanço do dia anterior do Ministério da Saúde.",,https://pbs.twimg.com/media/EsX-oxyXcAEgCCU?format=jpg&name=small,1,0,5
Loro,@lorodadoca,2021-01-22T23:56:51.000Z,"Ricos do BR na pandemia:
• no início da pandemia um testou positivo e foi pra Bahia esfriar a cabeça

https://metropoles.com/brasil/covid-19-empresario-infectado-foge-de-quarentena-e-vai-a-bahia…

• na véspera do início da vacinação em Manaus, duas filhas da elite local são nomeadas pra trabalhar na área da saúde pra receberem vacina

Continuem..","Covid-19: empresário infectado foge de quarentena e vai à Bahia
Presidente do grupo CVPAR foi encontrado de sunga e bebendo com os amigos após testar positivo em São Paulo e viajar de jatinho à praia
metropoles.com",https://pbs.twimg.com/card_img/1363000324311683075/LMgUdPXr?format=jpg&name=small,1,1,2
Carla Zambelli,@CarlaZambelli38,2021-01-22T23:10:57.000Z,"Parte da mídia insiste em ""secar"" as ações do Governo Federal, mais uma vez, sem sucesso! As vacinas de Oxford chegaram!",,https://pbs.twimg.com/amplify_video_thumb/1352754969078878208/img/_u0LKgwqlvMelYSR.jpg,600,1700,6200
FLAFUT,@GrupoFLAFUT,2021-01-22T23:56:26.000Z,"Enquanto a vacina não chega para todos, temos ainda que estar atentos aos cuidados contra a COVID-19.
Não se esqueçam de levar sempre a máscara e o álcool em gel!
Vamos juntos com o Mengão, de olho na saúde!

#SomosTodosRedeDor #Flamengo #patrocínio #RedeDorSãoLuiz #RDSL #Flafut",,https://pbs.twimg.com/media/EsX-g8UXUAAVx_z?format=jpg&name=small,0,1,4
amargura & sofrimento,@grazZzen,2021-01-22T23:57:22.000Z,"há um ano  antes de saber o que o vírus ia fazer com toda a população eu e meus amigos vendo esse video muitas vezes ao dia 

CORONA? IZ ZUZUM RIRUM","Comentar o Tweet
dula prep
@cudegracah
 · 22 de jan
um dos maiores videos do mundo
0:44
1,7 mi visualizações",https://pbs.twimg.com/profile_images/1317651219557605377/dkot7rkc_mini.jpg,2,0,5
André Batista,@AndrePiauih,2021-01-22T23:58:54.000Z,Muito obrigado! Prefiro tomar a vacina no olho,,https://pbs.twimg.com/media/EsX_FLgXcAIEugX?format=jpg&name=medium,1,1,11
Jornal A Redação,@aredacao,2021-01-22T23:54:25.000Z,Secretário de Saúde de Pires do Rio será afastado por furar fila da vacina. Decisão atende a um pedido do MP. https://aredacao.com.br/noticias/145499/secretario-de-saude-de-pires-do-rio-sera-afastado-por-furar-fila-da-vacina…,,https://pbs.twimg.com/media/EsX-A7vXcAg3g2b?format=jpg&name=small,2,1,10
amargura & sofrimento,@grazZzen,2021-01-22T23:57:22.000Z,"há um ano  antes de saber o que o vírus ia fazer com toda a população eu e meus amigos vendo esse video muitas vezes ao dia 

CORONA? IZ ZUZUM RIRUM","Comentar o Tweet
dula prep
@cudegracah
 · 22 de jan
um dos maiores videos do mundo
1,7 mi visualizações
0:04 / 0:46",https://pbs.twimg.com/profile_images/1317651219557605377/dkot7rkc_mini.jpg,2,0,5
