Apelido,Username,Data/Hora,Respondendo,Texto,link_img,Comentarios,Retweets,Likes
V de Vacina,@petraleao,2021-01-19T03:26:19.000Z,"Em resposta a 
@puffnopiripaf",Melhor horário do dia ,https://abs-0.twimg.com/emoji/v2/svg/1f49c.svg,,,
"GUERRERO, da Província da Vacina",@prissguerrero1,2021-01-19T03:26:18.000Z,"Estou lá no You Tube, vem conhecer o meu canal:","prissguerrero1 - Canal Rock Me ON
É uma extensão do site http://www.rockmeon.com.br, portanto, você vai encontrar aqui um pouco várias coisas que gosto, como desenhos, filmes, opinião sobre alguns assuntos, tutoriais simples, vídeos...
youtube.com",https://pbs.twimg.com/card_img/1350630734004957184/AEdTAOf6?format=jpg&name=240x240,,,
Yoyo quer vacina,@unagiconsuela,2021-01-19T03:26:17.000Z,eu todo dia antes de dormir,,https://pbs.twimg.com/media/EsEILxbXEAEG_oX?format=jpg&name=360x360,,,
"calmo, feliz e extrovertido",@Davi_fsantos_,2021-01-19T03:26:16.000Z,"Qnd eu tomar a vacina, vou sair do postinho com uma caixa de som tocando ""We are the champions"" no talo","Citar Tweet
anandamida
@anandapzz
 · 7 h
a brusinha da primeira vacinada no Piauí 
Mostrar esta sequência",https://pbs.twimg.com/profile_images/1347001592676028417/han3UFZB_mini.jpg,,,
A TARDE,@atarde,2021-01-19T03:26:14.000Z,#Covid19 Bahia recebe primeiro lote de doses de vacina http://atarde.uol.com.br/galerias/bahia/salvador/21650-bahia-recebe-primeiro-lote-de-doses-de-vacina…,,https://pbs.twimg.com/media/EsEILQ6W4AASL6r?format=jpg&name=small,,2,14
Fred,@Fred62944254,2021-01-19T03:26:09.000Z,"Em resposta a 
@Fred62944254
 @DatenaOficial
 e 
@RBandeirantes","A monica calazans que tomou a primeira vacina também é uma das pessoas contratadas que faz parte deste concurso e q será dispensada também após o termino do contrato , mas infelizmente a maioria de nós não temos outro emprego como ela e ficaremos desempregados NOS AJUDE ",https://abs-0.twimg.com/emoji/v2/svg/1f64f.svg,,,
Sidoka Da Deep Web,@TorezaniRafael,2021-01-19T03:26:02.000Z,Kjkjkjkjkjkkkkkkkkkkkkkkknmnnnnnnnnnkjkknk vamos esperar morrer mais uns 200mil até a Índia nos vender a de Oxford ou temos capacidade de produzir a vacina do Bolsonaro que n teve um dedo de auxílio do Bolsonaro,"Citar Tweet
Bolchevique
@G_Boasquives
 · 1 h",https://pbs.twimg.com/profile_images/1186423284759486466/mOJWxQXO_mini.jpg,,,
Bozo sendo sincero,@Bozonazisincer0,2021-01-19T03:26:00.000Z,Interesse do governo pela CoronaVac aponta mudança radical de posicionamento sobre a vacina | Jornal Nacional | G1,"Interesse do governo pela CoronaVac aponta mudança radical de posicionamento sobre a vacina
Presidente Jair Bolsonaro menosprezou o imunizante em várias ocasiões.
g1.globo.com",https://pbs.twimg.com/card_img/1350611221859414017/xeNC0Wn1?format=jpg&name=small,,1,1
caroline,@caroladrielli,2021-01-19T03:25:59.000Z,só vou tomar a vacina se a bi aplicar hein,"Citar Tweet
bianca
@bianquisa
 · 9 min
3º lugar em enfermagem na anhembi morumbi mores, a mãe tá on viu",https://pbs.twimg.com/profile_images/1349551836940931072/K5zZpDLC_mini.jpg,1,,1
Maria pronta pra tomar a vacina,@_maria_uai,2021-01-19T03:25:59.000Z,"Em resposta a 
@fernanandaft",Tô precisando ficar assim ,https://abs-0.twimg.com/emoji/v2/svg/1f602.svg,,,1
