Apelido,Username,Data/Hora,Respondendo,Texto,link_img,Comentarios,Retweets,Likes
QueimaKengaral,@QueimaKengaral3,2021-01-19T02:37:07.000Z,"Não se preocupem GADO fãs do capitão Cloroquina a vacina de voce tem em estoque, basta passar em qualquer veterinária. 
#ImpeachmentBolsonaro #BolsonaroGenocida",,https://pbs.twimg.com/media/EsD87tGW4AEEgn_?format=jpg&name=small,,,1
Diogo Cabral,@Diogotapuio,2021-01-19T02:38:57.000Z,"Isso é de uma gravidade extrema! O Estado do Amazonas e todos os estados da Federação precisam se manifestar sobre esta situação concreta! 
@Karibuxi
 @indiadeiphone
 @alice_pataxo
 @Juaonyn","Citar Tweet
elaizefarias
@elaizefarias
 · 15 min
Em resposta a @Diogotapuio
Até o momento o governo do AM não me respondeu se há plano de vacinas todos os indígenas. Em Manaus, há cerca de 30 mil autodeclarados indígenas.",https://pbs.twimg.com/profile_images/1343563941314768906/Rcem69bb_mini.jpg,,,6
nay,@naysemchakra,2021-01-19T02:13:25.000Z,meu look no dia da vacina #QueremosImpeachment,,https://pbs.twimg.com/media/EsD3gS4WMAom8OQ?format=jpg&name=small,,,1
A Gazeta ES,@AGazetaES,2021-01-19T00:56:42.000Z,Secretários de Saúde já esperam nova crise da vacina com falta de doses,"Secretários de Saúde já esperam nova crise da vacina com falta de doses
De acordo com dirigentes, já é consenso, no Conass (Conselho Nacional de Secretários de Saúde), que as 6 milhões de doses distribuídas vão acabar rapidamente.
agazeta.com.br",https://pbs.twimg.com/card_img/1351117725825966087/bWccoyao?format=jpg&name=small,3,3,8
Izabel Viola,@bel_viola,2021-01-19T01:24:26.000Z,#QueremosImpeachment queremos vacina ... queria Bozo em Bangu8,,https://pbs.twimg.com/media/EsDsS88XcEIP7gF?format=jpg&name=medium,,1,3
Burrinho Investidor,@donkeymoni,2021-01-19T02:36:51.000Z,Voltando no Uber após ter tomado a vacina ,,https://pbs.twimg.com/media/EsD83ZCXEAEZ5JK?format=jpg&name=900x900,,,
Leão,@Leo61987693,2021-01-19T02:21:02.000Z,"Tirando esse governador FDP que temos aqui, chega da uma emoção em saber que ja começou a vacina aqui em Pernambuco. #PernambucomeuPaís! #Vemvacina!!",,https://pbs.twimg.com/ext_tw_video_thumb/1351353683003506691/pu/img/pd5jJteZSmVxz4K8.jpg,,,
Neto Barros,@_Neto_Barros_,2021-01-19T02:25:54.000Z,"A matéria-prima da vacina vem da China.
O oxigênio, da Venezuela.
A Ford foi para a Argentina.
E por onde andam Bolsonaro, os falsos médicos e a turma da latrina?
Por aí, agasalhando a cloroquina.",,https://pbs.twimg.com/ext_tw_video_thumb/1351355100258828288/pu/img/vs-T8N2_e9V-gT2_.jpg,,,
Daniele Schueler,@DanieleSchueler,2021-01-19T01:17:26.000Z,Eu indo tomar vacina ,,https://pbs.twimg.com/ext_tw_video_thumb/1351337901318168578/pu/img/X4Hs2FVQbf6B1P08.jpg,,,
Mila,@Mila84334685,2021-01-19T01:05:43.000Z,"Já posso tomar a vacina sem medo de mutações. O homi da Lei, a calopsita da justiça não mudou nada! #advogadoPaloma",,https://pbs.twimg.com/media/EsDoA6FXAAANIFY?format=jpg&name=small,,,2
