Apelido,Username,Data/Hora,Respondendo,Texto,link_img,Comentarios,Retweets,Likes
O Antagonista,@o_antagonista,2021-01-20T23:55:53.000Z,"A subprocuradora Lindôra Araújo perguntou ao presidente do Butantan, Dimas Covas, quando o instituto receberá da Sinovac chinesa o Ingrediente Farmacêutico Ativo, necessário para a produção da Coronavac.","MPF questiona Butantan sobre recebimento de insumo - O Antagonista
A subprocuradora Lindôra Araújo perguntou ao presidente do Butantan, Dimas Covas, quando o instituto receberá da Sinovac o Ingrediente Farmacêutico Ativo (IFA), necessário para a produção da Corona...
oantagonista.com",https://pbs.twimg.com/card_img/1362551454473609218/rL-9JzsG?format=png&name=small,59,29,184
Izadora E. Milhomem F. Siqueira,@izadoramilhomem,2021-01-20T23:56:05.000Z,"Hoje é aniversário do 
@guguzazzo
 e quando eu perguntei qual tema ele queria pro bolo dele, ele disse: Vacina.

Ta aí. Te amo, Gugu.

#VacinaDoButantan #vacina #coronavac #DoriaVacinador #VacinaJa",,https://pbs.twimg.com/media/EsNrQWdXUAkWkEp?format=jpg&name=small,1,,5
ROCHA ADVOGADO,@rocha_lcr,2021-01-20T23:59:04.000Z,"Um bárbaro convertido: Luciano Hang, dono da Havan, diz que terá alta hoje e defende vacina https://noticias.uol.com.br/cotidiano/ultimas-noticias/2021/01/20/luciano-hang-dono-da-havan-diz-que-tera-alta-hoje-e-defende-vacina.htm… via 
@UOLNoticias
 @UOL","Luciano Hang, dono da Havan, diz que terá alta hoje e defende vacina
O empresário Luciano Hang, dono das lojas Havan, disse que terá alta ainda hoje após se re...
noticias.uol.com.br",https://pbs.twimg.com/card_img/1362163234791383042/WO20PMqL?format=jpg&name=360x360,3,8,26
Estado de Minas,@em_com,2021-01-20T23:33:45.000Z,BH e mais sete capitais terão carreatas pró-impeachment de Bolsonaro,"BH e mais sete capitais terão carreatas pró-impeachment de Bolsonaro
Atos vão ocorrer no sábado (23/01) em todo o país. Em Belo Horizonte, a manifestação sairá do Mineirão, a partir das 16h
em.com.br",https://pbs.twimg.com/card_img/1362170262653968385/K-x77KQR?format=jpg&name=small,76,254,"1,1 mil"
Palhaça VacinaStan,@patonalaranja,2021-01-20T23:56:24.000Z,"Cara, deixa a China.
Você é responsável pelo atraso e a Coronavac é usada na China sim, seu paspalho.
Se eu fosse o embaixador da China, avisaria que só conversaria se vc e o 4chanceler calassem a boca e pedissem desculpas.","Comentar o Tweet
Eduardo Bolsonaro
@BolsonaroSP
 · 19 de jan
1) VACINA E A GUERRA DE NARRATIVAS

A comunicação do governo poderia melhorar? Sim,sempre dá para aperfeiçoar tudo. Mas pense comigo: será que se o governo agisse diferente, este que criticam estariam elogiando?Adianto a resposta: a esmagadora maioria não

https://youtu.be/JJ8x4DczbZU",https://pbs.twimg.com/profile_images/1356302696077258754/0TPHaiko_mini.jpg,,1,3
Bora Conversar Política,@BCPolitica,2021-01-20T23:38:29.000Z,"Em Rio das Flores a atitude de uma idosa de 108 anos chamou atenção: dona Hilda decidiu não se vacinar e justiticou que vai deixar ""para quem pode viver mais.

Via ( 
@g1
 )",,https://pbs.twimg.com/media/EsNnK7tXMAA3Q5Z?format=jpg&name=small,10,55,264
ME VACINA KERELIO,@odymacedo,2021-01-20T23:56:43.000Z,"Mais um caso de corrupção durante a vacina do COVID! Que derrota moral! Mas eu sei que se Deus não levou essa raça maldita e miserável de coronavírus coisa pior vai cair sobre elas, não é possível! Gente SUJA!","Comentar o Tweet
Flávio Costa
@flaviocostaf
 · 20 de jan
A família Nilton Lins é uma das mais ricas de Manaus. As gêmeas Lins, foram nomeadas de última hora trabalhar na UBS, foram vacinadas e postaram nas redes sociais. O prefeito de Manaus, inconformado, proibiu que as pessoas fotografassem e divulgassem fotos tomando vacinas.
Mostrar esta sequência",https://pbs.twimg.com/profile_images/1152349233716047872/kp-AUKyc_mini.jpg,,,4
"Rubinho Divinéia (
)",@RubinhoDivi,2021-01-20T23:56:34.000Z,"#BRICS têm #Vacina e #Insumos #IFA para a fabricação. #Brasil desdenha do BRICS e corta investimentos em #CiênciaeTecnologia há dois anos e o resultado é a #Dependência externa!! 
Cassação da Chapa Bolsonaro e Nova Eleição Preside... https://rubinhodadivineia.blogspot.com/2020/04/cassacao-da-chapa-bolsonaro-e-nova.html?spref=tw…","Comentar o Tweet
MariLULA - Chavista - Socialista
@MarivoneLula
 · 18 de jan
#VacinaEImpeachmentJa  #ForaBolsonaro #ForaDoria >  Vídeo: João Dória ( PSDB)  em 2019 , ao lado de Jair 
Bolsonaro e Paulo 
Guedes prometeu privatizar o Instituto Butantan para investidores em Davos. -
 https://apostagem.com.br/2021/01/18/video-doria-prometeu-privatizar-o-instituto-butantan-para-investidores-em-davos/… @a_postagem",https://pbs.twimg.com/profile_images/1215072411432968193/p7trAKHh_mini.jpg,,3,3
Thais Vianello,@THAISVIANELLO,2021-01-20T23:55:57.000Z,Justiça nega pedido do PT para derrubar sigilo do cartão de vacinação de Bolsonaro,"Justiça nega pedido do PT para derrubar sigilo do cartão de vacinação de Bolsonaro
Justiça nega pedido do PT para derrubar sigilo do cartão de vacinação de Bolsonaro
gazetabrasil.com.br",https://pbs.twimg.com/card_img/1362444726205640709/_lvETMQU?format=jpg&name=small,3,6,27
"NA BANCADA
7,7k!",@NaBancada_,2021-01-20T23:59:18.000Z,"A vacina chegou, então é hora de ser mais paciente e cuidadoso do que nunca. Voltamos com nossas live:

Sem tema definido e com convidados aleatórios.

Ative o lembrete, curta a página e ative as notificações: 
https://youtube.com/watch?v=Jhz1WvphOiU…",,https://pbs.twimg.com/media/EsNq5OPXEAA0vfq?format=jpg&name=small,4,7,38
BolsoMito380,@BolsoMito380,2021-01-20T23:57:54.000Z,"Justiça nega pedido do PT para derrubar sigilo do cartão de vacinação de Bolsonaro.

#QueremosBolsonaroAte2026","Justiça nega pedido do PT para derrubar sigilo do cartão de vacinação de Bolsonaro
Justiça nega pedido do PT para derrubar sigilo do cartão de vacinação de Bolsonaro
gazetabrasil.com.br",https://pbs.twimg.com/card_img/1362444726205640709/_lvETMQU?format=jpg&name=small,1,2,11
CartaCapital,@cartacapital,2021-01-20T23:59:37.000Z,"Araújo nega problemas com a China, mas não prevê data para entrega de matéria-prima para vacina","Araújo nega problemas com a China, mas não prevê data para entrega de matéria-prima para vacina
Chanceler culpou alta demanda pelo produto e disse que outros países também sofrem atraso no fornecimento
cartacapital.com.br",https://pbs.twimg.com/card_img/1362339412093394945/tYfq0vgn?format=jpg&name=small,22,19,61
𝒮𝒶𝓃𝒹𝓇𝑜 𝑅𝒶𝑔𝑜𝓃𝑒𝓏𝒾 | Brasil Decente,@sandronezi,2021-01-20T23:55:36.000Z,"Gêmeas ricas, prefeitos, secretária: promotorias de 4 estados investigam fura filas de vacina | Revista Fórum","Gêmeas ricas, prefeitos, secretária: promotorias de 4 estados investigam fura filas de vacina |...
Denúncias de pessoas fora do grupo prioritário que receberam vacina contra a Covid-19 foram registradas em Pernambuco, Sergipe, Amazonas e Bahia
revistaforum.com.br",https://pbs.twimg.com/card_img/1362126265696874508/COgygJ-Z?format=jpg&name=small,,2,2
Portal Banda B,@PortalBandaB,2021-01-20T23:52:04.000Z,"No primeiro dia de vacinação contra Covid-19, Curitiba aplica 807 doses da Coronavac:","No primeiro dia de vacinação contra Covid-19, Curitiba aplica 807 doses da Coronavac
 bandab.com.br",https://pbs.twimg.com/card_img/1362538720038125570/Up52LaN1?format=jpg&name=240x240,1,4,9
A Gazeta ES,@AGazetaES,2021-01-20T23:58:35.000Z,É falso que Angélica disse que não vai tomar vacina contra Covid-19,"É falso que Angélica disse que não vai tomar vacina contra Covid-19
A postagem manipulada afirma que a apresentadora teria dito em entrevista à Jovem Pan que ela e sua família têm 'alta imunidade' e não precisam da vacina.
agazeta.com.br",https://pbs.twimg.com/card_img/1362489111962152974/jwrDmIef?format=jpg&name=small,4,,15
Rádio Guaíba,@RdGuaibaOficial,2021-01-20T23:57:42.000Z,Pazuello tem reunião com embaixador chinês sobre vacina - https://guaiba.com.br/2021/01/20/pazuello-tem-reuniao-com-embaixador-chines-sobre-vacina/…,,https://pbs.twimg.com/media/EsNroC9XEBYw_bB?format=jpg&name=small,5,3,9
MacMagazine.com.br,@MacMagazine,2021-01-20T23:57:24.000Z,"App Conecte SUS ganha carteira de vacinação digital » https://macmagazine.com.br/post/2021/01/20/app-conecte-sus-ganha-carteira-de-vacinacao-digital/… (por 
@eduardomarques
)","App Conecte SUS ganha carteira de vacinação digital – MacMagazine.com.br
Temos boas novidades relacionadas ao app Conecte SUS, sobre o qual comentamos recentemente — por ele, é possível…
macmagazine.com.br",https://pbs.twimg.com/card_img/1362432434248237060/beTGFA24?format=jpg&name=small,1,5,30
Pedro Rafael Magno,@pedrormagno,2021-01-21T23:56:51.000Z,"Só nao tirei foto no momento da aplicação pois estava de camisa e tive que ficar NU! 

VEM VACINA!",,https://pbs.twimg.com/media/EsS1A-MW8AAZYzq?format=jpg&name=small,10,6,412
Focus News,@clicksil,2021-01-21T23:59:46.000Z,"Brasil já está produzindo Sputnik V
A fabricante brasileira da vacina russa Sputnik V já está produzindo doses, disse o chefe do Fundo Russo de Investimento Direto (RDIF) nesta quinta-feira, acrescentando que a produção será elevada em fevereiro.",,https://pbs.twimg.com/media/EsS1r--WMAc1dUS?format=jpg&name=small,,1,2
Não perdoo golpistas,@sobr3vivente,2021-01-21T23:53:37.000Z,"portugal, fecha escolas e universidades, olha os óbitos
No total, 9.686 pessoas em Portugal já morreram por coronavírus.","Portugal fecha escolas e universidades após recordes consecutivos de mortes por Covid-19
Nos últimos sete dias, país teve a maior taxa de infecções a cada milhão de habitantes no mundo; Holanda terá toque de recolher pela primeia vez desde a Segunda Guerra Mundial
oglobo.globo.com",https://pbs.twimg.com/card_img/1362457064124141569/ISGAEYZf?format=jpg&name=small,,5,6
UOL,@UOL,2021-01-21T23:55:52.000Z,AP: secretário de Saúde que debochava da CoronaVac é visto 'furando fila',"AP: secretário de Saúde que debochava da CoronaVac é visto 'furando fila'
Uma investigação foi aberta hoje pelo MP (Ministério Público) do Amapá contra o secretário...
noticias.uol.com.br",https://pbs.twimg.com/card_img/1362554027809132544/LaSfrq4p?format=png&name=small,61,170,472
Leonel Campos,@campos,2021-01-21T23:51:45.000Z,"Quase 11 meses cuidando de pessoas com Covid-19 em áreas críticas. Hoje recebo a 1a dose da vacina. 
A vacinação é um direito de todos e um dever do Estado. #TodosPelasVacinas #Vaccination #VaccinesWork",,https://pbs.twimg.com/media/EsSz2cVXIAE0ek4?format=jpg&name=small,57,105,"3,3 mil"
Jornal do Commercio,@jc_pe,2021-01-21T23:57:43.000Z,Avião com 2 milhões de doses de vacina contra covid-19 para o Brasil sai da Índia,"Avião com 2 milhões de doses de vacina contra covid-19 para o Brasil parte da Índia
Vacinas devem chegar ao Brasil na tarde desta sexta-feira (22)
jc.ne10.uol.com.br",https://pbs.twimg.com/card_img/1362717380393136130/YMNFI-mW?format=jpg&name=small,,5,58
"Eim, Rique",@OriggiStocco,2021-01-21T23:56:42.000Z,"Pouca gente sabe disso, mas essa é a cientista que desenvolveu a Coronavac ",,https://pbs.twimg.com/media/EsS0_NtXUAsV4ms?format=jpg&name=900x900,1,,14
J.,@jotacorreria,2021-01-21T23:56:25.000Z,Kalil seria o protagonista da campanha de vacinação no meu governo.,"Comentar o Tweet
Revista Fórum
@revistaforum
 · 21 de jan
Kalil, prefeito de BH, opina sobre negacionistas: “Quem não vacinar é idiota e burro” https://revistaforum.com.br/brasil/kalil-prefeito-de-bh-opina-sobre-negacionistas-quem-nao-vacinar-e-idiota-e-burro/…
Mostrar esta sequência",https://pbs.twimg.com/profile_images/1299328024609878016/CATY-d06_mini.jpg,,4,20
aprendiz de coveiro,@pynklyra,2021-01-21T23:59:15.000Z,"ULTIMA a pedidos 
raça: tombinha as well
nome: brigite 
raiva: ZERO rancor só amor tem ate mancha em forma de coração
inteligência: 7/10
beleza: mil/10 tb 
tomou vacina? sim
gosta de crianças? gosta de tudo que se mexe
já mordeu alguém? só de brincs
apelido? bri, bibi","Comentar o Tweet
aprendiz de coveiro
@pynklyra
 · 21 de jan
raça: uma grandíssima tomba-lata
nome: minerva
raiva: PUTASSA
inteligência: 8/10
beleza: pra mim mil/10
tomou vacina? sim
gosta de crianças? ela não gosta de ninguém
já mordeu alguém? sim
apelido? mimíca, culi, pupunha, mimi ",https://pbs.twimg.com/media/EsS1jdOXIAkgXRI?format=jpg&name=360x360,6,3,32
Dados da COVID-19 no Brasil,@covid19brbot,2021-01-21T23:59:18.000Z," [ATUALIZAÇÃO] 
 Fonte: Secretarias Estaduais de Saúde (https://covid19br.wcota.me)
 Brasil tem 8.704.642 casos e 214.317 óbitos por #coronavirus.
 São 66.393 casos e 1.486 óbitos novos em relação ao balanço do dia anterior do Ministério da Saúde.",,https://pbs.twimg.com/media/EsS1lC8W4AET9uK?format=jpg&name=small,1,3,5
Felipe Durante,@fedurante,2021-01-21T23:51:29.000Z,Aí o Chinasplaining!!,"Comentar o Tweet
Ana Maria
@AnaMariaMariaAM
 · 21 de jan
Em resposta a @fedurante @ALLuSapore e @Danielhrs
Eu já estive lá a trabalho, vc já foi? Eles comem até barata por falta de carne, é um nojo 
 eu estou falando com conhecimento de causa e de alguém que esteve in loco e vc, acha que a comida que vc pede do China in box é a comida que tem lá para a população menos abastada? ",https://pbs.twimg.com/profile_images/1195544626574381056/7_gUaths_mini.jpg,14,6,136
Jornal Meia Hora,@meiahora,2021-01-21T23:57:00.000Z,"Dilma e Collor foram convidados para tomarem a Coronavac antes dos grupos aos quais pertencem.
#MeiaHora","Ex-presidentes recusam convite de Doria para tomarem vacina contra Covid-19
Dilma e Collor foram convidados para tomarem a Coronavac antes dos grupos aos quais pertencem
meiahora.com.br",https://pbs.twimg.com/card_img/1363004060429877253/qvwgwMp4?format=jpg&name=small,,2,8
Prefeitura de Macaé,@macaeprefeitura,2021-01-21T21:58:53.000Z,Vacina contra a Covid-19: 816 pessoas já imunizadas http://macae.rj.gov.br/noticias/leitura/noticia/vacina-contra-a-covid-19-816-pessoas-ja-imunizadas#.YAn5Cs2adZs.twitter…,,https://pbs.twimg.com/media/EsSZ_niW8AAMO7k?format=jpg&name=small,1,2,16
Dilma Resistente,@DilmaResiste,2021-01-21T23:57:13.000Z,"Alberto Fernández se vacina com Sputnik V na Argentina
""Se vacinar serve para sermos imunes ao coronavírus. Vamos fazer isso"", disse o presidente argentino https://revistaforum.com.br/global/alberto-fernandez-se-vacina-com-sputnik-v-na-argentina/…
#Resistencia1022Dias #ImpeachmentSalvaVidas #mentiroso
Siga nosso Instagram 
@DilmaResiste","Alberto Fernández se vacina com Sputnik V na Argentina | Revista Fórum
""Se vacinar serve para sermos imunes ao coronavírus. Vamos fazer isso"", disse o presidente argentino
revistaforum.com.br",https://pbs.twimg.com/card_img/1362717385300434945/651Ha6MT?format=jpg&name=small,1,5,19
Rede Brasil Atual,@redebrasilatual,2021-01-21T23:57:17.000Z,"Oposição se une por vacina, renda emergencial e impeachment, que move carreatas neste sábado #ForaBolsonaro","Oposição se une por vacina, renda emergencial e impeachment, que move carreatas neste sábado
Neste sábado, carreatas em todo o Brasil aumentam pressão pelo impeachment de Bolsonaro. Partidos também querem fim do recesso parlamentar
redebrasilatual.com.br",https://pbs.twimg.com/card_img/1362800131821744128/GmZ2RYeM?format=jpg&name=small,3,22,45
exame,@exame,2021-01-21T23:53:44.000Z,"A corrida pela vacina: o mar, os rochedos e o marisco","A corrida pela vacina: o mar, os rochedos e o marisco
Coluna de Alon Feuerwerker lembra que a geopolítica nem sempre segue critérios econômicos e pode interferir na segurança do abastecimento farmacêutico dos países
exame.com",https://pbs.twimg.com/card_img/1360765875935186948/bV1Bunqk?format=jpg&name=small,2,2,19
