Apelido,Username,Data/Hora,Respondendo,Texto,link_img,Comentarios,Retweets,Likes
ale,@cheernamjoon,2021-02-14T23:15:45.000Z,era pra eu estar na sapucai nesse momento morre corona,,https://pbs.twimg.com/media/EuORxNeXEAYiX3c?format=jpg&name=small,,,
Israel Agora e Sempre,@AgoraIsrael,2021-02-14T21:53:31.000Z,"ISRAELENSES DESCOBREM QUE UMA DOSE DA VACINA PFIZER AJUDA A IMPEDIR A PROPAGAÇÃO DO CORONA
1 dose da vacina provoca forte resposta imunológica em pessoas previamente infectadas, de acordo com estudo da Bar-Ilan University e Ziv Medical Center.

http://israelagora.com.br/israel/atualidades/biomedicina/israelenses-descobrem-que-uma-dose-da-vacina-pfizer-ajuda-a-impedir-a-propagacao-do-corona/…",,https://pbs.twimg.com/media/EuN-jNOXMAwGCbf?format=png&name=small,,,
TuneIn Brasil,@tuneinbrasil,2021-02-14T23:00:21.000Z,"Covid-19: Brasil registra 239 mil mortes e 9,83 milhões de casos #RadioBombando #Coronavirus #Noticias","Gaúcha FM Porto Alegre
A Gaúcha FM faz parte do Grupo RBS que é uma das maiores empresas de comunicação multimídia do Brasil e a maior afiliada da Rede Globo no sul do país.
tunein.com",https://pbs.twimg.com/card_img/1362847043002064900/9YJ8BWre?format=png&name=240x240,,,
meen,@arenvr,2021-02-14T23:55:20.000Z,corona virus ACABE IMEDIATAMENTE pra eu esbanjar a minha beleza nessa cidade,"Comentar o Tweet
meen
@arenvr
 · 14 de fev
comprei uma calça aqui fiquei linda demais",https://pbs.twimg.com/profile_images/1359950602898460674/F-KDGb7M_mini.jpg,,,
robine,@gsrobine,2021-02-14T21:49:30.000Z,"meu fi se esse trem espalhar ninguém passa não, vai morrer é todo mundo. vai junta corona e ebola, não vai sobrar ninguemmm não","Comentar o Tweet
Portal R7.com
@portalR7
 · 14 de fev
Guiné anuncia oficialmente uma epidemia de Ebola http://r7.com/HbLL",https://pbs.twimg.com/profile_images/1179730636644454402/lEcDRpIC_mini.jpg,,,
LA helenA22.,@lachlanmount,2021-02-14T23:02:21.000Z,CORONAVIRUS EU TE ODEIO TANTO JUROOOO,"Comentar o Tweet
PAF
@patriciaamanda
 · 13 de fev
Uma imagem de partir o coração. O homem da meia-noite vagando sozinho pelas ruas de Olinda 
Reportagem do NETV2 do dia 16.01.
Mostrar esta sequência",https://pbs.twimg.com/profile_images/1338905347151499264/fLsttm5a_mini.jpg,1,,
EX-BIXO UFRGS E VIÚVO DO LUAN,@matheuslucca97,2021-02-14T21:50:38.000Z,"O ULTIMO GOL DO LUCAS LIMA PELO PALMEIRAS FOI CONTRA O ITUANO PELO PAULISTÃO DE 2020.
NA OCASIÃO, NAO PENSÁVAMOS EM CORONAVIRUS E O SEU GOL FOI POSTADO PELO SNOOP DOGG NOS STORIES.","Comentar o Tweet
Goleada Info (de
)
@goleada_info
 · 14 de fev
Lucas Lima volta a balançar as redes após 389 dias: Palmeiras 2x0 Fortaleza",https://pbs.twimg.com/profile_images/1345675681313812481/xPZjxJor_mini.jpg,1,,
Política Estadão,@EstadaoPolitica,2021-02-14T23:08:53.000Z,"‘O povo tá vibrando’, diz Bolsonaro sobre novo decreto de armas.","‘O povo tá vibrando’, diz Bolsonaro sobre novo decreto de armas - Política - Estadão
Presidente, porém, evitou se estender sobre o tema ao encontrar apoiadores em São Francisco do Sul (SC), onde passa o carnaval
politica.estadao.com.br",https://pbs.twimg.com/card_img/1361078834104324098/qJC1uhaP?format=jpg&name=small,59,17,57
You're fired!,@RickyWill0309,2021-02-14T23:12:34.000Z,Capitão Corona ataca de novo!,,https://pbs.twimg.com/media/EuORCwZXcAMjNPv?format=jpg&name=small,,,3
#LULA e PonTo final.,@tarlouze,2021-02-14T22:56:22.000Z,"Variante brasileira pode virar ‘monstro’, diz governadora italiana
Donatella Tesei é governadora da Úmbria, uma das regiões mais afetadas atualmente pela pandemia do novo coronavírus na Itália, que abriga um foco de disseminação da variante brasileira já com mais de 40 infectados",,https://pbs.twimg.com/media/EuONUzoXAAIO12t?format=jpg&name=small,,,1
